"code","SNP","Con","Lib Dem","Lab","mtime","turnout","majority","electorate","percentageTurnout","percentageChangeTurnout","swing","lastPercentageMajority","sittingParty","winningParty","PC","Brexit","Green","Ind","Soc Dem","BSJP","UKIP","Speaker","Alliance","DUP","UUP","Young","Yorkshire","Libertarian","Lib","CPA","AWP","Loony","NE Party","SDLP","SF","Gwlad","ND","Wycombe","LD","dec.constituency","dec.Con","dec.Lab","dec.LD","dec.Brexit","dec.Green","dec.SNP","dec.PC","dec.Other","nov.Con","nov.Lab","nov.LD","nov.Brexit","nov.Green","nov.SNP","nov.PC","nov.Other","conLead","predConLead"
"E14000787",NA,21.54,11.24,59.49,"2019-12-13T01:55:36.000Z",44815,37.95,67857,66.04,-3.24,-8.46,25.61,"Lab","Lab",NA,2.75,3.81,0.1,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,11.24,"Lewisham East",20,58,12,4,4,0,0,2,22,55,13,4,5,0,0,1,-37.95,-38
"E14000788",NA,19.8,12.02,61.15,"2019-12-13T02:11:51.000Z",52100,41.35,74615,69.83,-3.14,-5.42,43.54,"Lab","Lab",NA,2.03,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,12.02,"Lewisham West and Penge",22,56,12,4,4,0,0,2,24,52,14,4,5,0,0,1,-41.35,-34
"E14000805",NA,34.37,4.76,45.08,"2019-12-13T01:43:47.000Z",44259,10.71,74190,59.66,-3.55,-15.1,28.85,"Lab","Lab",NA,13.14,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76,"Makerfield",29,46,5,16,3,0,0,0,33,44,7,13,3,0,0,0,-10.71,-17
"E14000812",NA,63.44,10.37,21.27,"2019-12-13T01:59:45.000Z",54161,42.17,85368,63.44,-3.65,1.45,35.13,"Con","Con",NA,NA,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37,"Meriden",58,26,11,0,5,0,0,0,61,21,12,0,5,0,0,0,42.17,32
"E14000819",NA,27.42,2.54,53.52,"2019-12-13T00:29:13.000Z",32140,26.1,60759,52.9,-5.41,-12.15,38.93,"Lab","Lab",NA,0.67,1.7,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,"Middlesbrough",24,49,5,16,3,0,0,3,26,49,5,14,4,0,0,2,-26.1,-25
"E14000827",NA,64.52,14.55,14.8,"2019-12-13T02:14:21.000Z",50786,49.72,73552,69.05,-1.7,1.91,42.82,"Con","Con",NA,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA,NA,14.55,"New Forest East",55,17,21,0,5,0,0,3,57,15,22,0,5,0,0,2,49.72,38
"E14000831",NA,24.79,7.23,57.55,"2019-12-12T23:28:07.000Z",37474,32.76,57845,64.78,-1.97,-7.34,40.27,"Lab","Lab",NA,6.78,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,"Newcastle Upon Tyne Central",20,58,8,11,3,0,0,0,23,55,8,10,4,0,0,0,-32.76,-38
"E14000832",NA,24.41,10.46,60.07,"2019-12-13T00:07:47.000Z",43365,35.66,63796,67.97,1.18,-7.48,46.26,"Lab","Lab",NA,NA,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46,"Newcastle Upon Tyne East",27,57,11,0,5,0,0,0,28,59,8,0,5,0,0,0,-35.66,-30
"E14000833",NA,33.17,9.27,45.44,"2019-12-13T00:50:25.000Z",46999,12.27,68486,68.63,-4.19,-9.92,21.43,"Lab","Lab",NA,9.22,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.27,"Newcastle Upon Tyne North",31,46,9,11,3,0,0,0,32,47,10,9,3,0,0,0,-12.27,-15
"E14000851",NA,59.12,8,29.78,"2019-12-13T00:32:26.000Z",55115,29.34,82441,66.85,-1.62,5.52,15.18,"Con","Con",NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"North Swindon",54,36,7,0,2,0,0,0,53,35,8,0,3,0,0,0,29.34,18
